существительное;класс наун;глагол;акцион;таксон;коллокация;нестандартные конструкции (1 или 2);субъекты (отличные от человека);пример употребления;частота
ненормальный;ментальные свойства человека: отсутствие ума, человек: оценка;смеяться;действие;эмоции: проявление, звук;смеяться как ненормальный;;;Первые просмотров 5 ты смеешься как ненормальный, следующие 5 — начинаешь цитировать крылатые фразы героев загодя, в последующие просмотры восхищаешься тем, как все это снято, как все это прошло цензуру, и с сожалением отмечаешь: так уже не снимают. [коллективный. Операция «Ы» (2007-2011)];5
ненормальный;ментальные свойства человека: отсутствие ума, человек: оценка;хохотать;действие;эмоции: проявление, звук;хохотать как ненормальный;;;Затем мы очутились на диване, закутанные в полотенца, пили водку из горлышка, передавая друг другу бутылку, и хохотали, как ненормальные, над телепередачей про искусственное осеменение коров. [Ярослав Кудлак. Симбиоз // «Наука и жизнь», 2009];6
облупленный;физические свойства/состояния;знать;состояние;;знать как облупленного;2;;Он был сыном акцизного чиновника, и его отца и его самого все знали как облупленных. [Анатолий Рыбаков. Тяжелый песок (1975-1977)];36
огонь;природа: явления;бояться;состояние;эмоции;бояться как огня;2;;От моего Ермолая и от других я часто слышал рассказы о леснике Бирюке, которого все окрестные мужики боялись как огня.;3
огонь;природа: явления;вспыхнуть;событие;природное явление, свет: начало;вспыхнуть как огонь;;ненависть, герой;Ненависть вспыхнула, как огонь.;2
огонь;природа: явления;гореть;проявление;природное явление, свет;гореть как огонь;;рука, куст, чайник, глаза, лицо;Приветливые слова его катились прямо ко мне в душу, рука его горела, как огонь, от этого огня вся кровь во мне закипела. [П. Ю. Львов. Даша, деревенская девушка (1803)];9
окаменелый;физические свойства/состояния: результат воздействия;стоять;положение в пространстве;позиция;стоять как окаменелый;;деревья, лошади, козел, войска;Вид ее постели остановил биение его сердца. Он несколько минут стоял, как окаменелый. ? Именно здесь! [Н.Э. Гейнце. В тине адвокатуры (1893)];30
ошпаренный;физические свойства/состояния: результат воздействия;вскакивать;действие;движение;вскакивать как ошпаренный;;;? Что еще за танцы, ? произнес сердитый женский голос, ? сначала он вскакивает как ошпаренный, потом в обморок валится! [Татьяна Устинова. Подруга особого назначения (2003)];22
ошпаренный;физические свойства/состояния: результат воздействия;вскочить;действие;движение;вскочить как ошпаренный;;;"Я проснулся от того, что кто-то рявкнул мне в самое ухо: Уже поздно! ""? и вскочил как ошпаренный. [Вера Белоусова. Второй выстрел (2000)]";6
ошпаренный;физические свойства/состояния: результат воздействия;выскочить;действие;движение: направленное;выскочить как ошпаренный;;;Прогулка по Бродвею закончилась посещением тридцатипятицентового бурлеска, откуда великий и застенчивый Христофор выскочил, как ошпаренный кот. [И. А. Ильф, Е. П. Петров. Колумб причаливает к берегу (1936)];4
палка;природа: объекты;торчать;положение в пространстве;позиция;торчать как палки;;артефакт;Сверкающий перед глазами диск пропеллера исчез. Его три лопасти торчали, как палки. До аэродрома было не дотянуть, и летчики стали высматривать подходящую посадочную площадку. [Михаил Шишкин. Письмовник (2009) // «Знамя», 2010];4
папа Карло;человек;пахать;деятельность;актуальное/потенциальное занятие;пахать как папа Карло;;;Надо их ремонтировать, реставрировать, пахать как папа Карло. [М.. Письма из Санкт-Петербурга подруге в Саратов (2010)];2
паровоз;артефакты;гудеть;проявление;звук;гудеть как паровоз;;;Ползал вместе с Серёжкой по комнатам и гудел как паровоз. [Андрей Геласимов. Жанна (2001)];3
паровоз;артефакты;курить;занятие;актуальное/потенциальное занятие;курить как паровоз;;;Вот у меня младший брат курит как паровоз. [коллективный. Всемирный день борьбы с курением (2011)];4
партизан;человек;молчать;действие, состояние;звук, речь;молчать как партизан;;;В воскресенье ЦИК «стоял на ушах», пытаясь дозвониться до главы краевой комиссии и получить от него объяснения происходящего. Телефоны Кострыкина молчали, как партизаны. .. А в понедельник Кострыкин был госпитализирован с сердечным приступом после того, как получил депутаты краевого засобрания пригласили его выступить на заседании. [Анатолий Шведов. Обыкновенный «Нашизм». Итоги выборов красноярского губернатора отменили за 360 секунд (2002) // «Известия», 2002.09.29];12
пень;природа: объекты;молчать;действие, состояние;звук, речь;молчать как пень;;;"Вызывают его на допрос ? кто на ""д""? Молчит, как пень, не откликается. [Василий Гроссман. Жизнь и судьба, часть 3 (1960)]";10
пень;природа: объекты;стоять;положение в пространстве;позиция;стоять как пень;;;Оба не двигались с места, когда хозяин соскакивал с седла, но тот, когда его звали, тотчас шёл на голос, а этот продолжал стоять, как пень. [И. C. Тургенев. Конец Чертопханова (1872)];22
пес;животные: звери;выть;действие;звук;выть как пес;;;Вытирал сопли и воздевал руки к небу. Проклинал судьбу и выл, как пес. Никогда так не врал. [Андрей Рубанов. Носки (2010)];3
песок;природа;утекать;процесс;движение;утекать как песок;;время;И время утекало, как песок, что высыпался, сжатый в кулачке, чем сильнее тужился и сжимал его, целую горсть. [Олег Павлов. Асистолия // «Знамя», 2009];2
пласт;природа: объекты;лежать;положение в пространстве;позиция;лежать как пласт;;;Он лежал как пласт, устремив глаза куда-то в пространство. [А. И. Эртель. Гарденины, их дворня, приверженцы и враги (1889)];11
подкошенный;физические свойства/состояния;рухнуть;событие;движение: падение;рухнуть как подкошенный;;;И вдруг поскользнулся на сцене и рухнул, как подкошенный. [Анна Глебова. Раствор Челентано (2002) // «Домовой», 2002.02.04];15
подкошенный;физические свойства/состояния;упасть;событие;движение: падение;упасть как подкошенный;;;Он успел еще обернуться в надежде увидеть одобрение на лицах своих товарищей, но уже в следующее мгновение упал как подкошенный к их ногам, а ефрейтор Соколов стоял над ним, хищно склонившись и приготовив руку для второго удара.;23
полотно;артефакты;побледнеть;событие;физиология, эмоции: проявление;побледнеть как полотно;;;Вдруг он опустил дуло пистолета и, побледнев как полотно, повернулся к своему секунданту. [М. Ю. Лермонтов. Герой нашего времени (1839-1841)];69
полоумный;ментальные свойства человека: отсутствие ума;вскочить;действие;движение;вскочить как полоумный;;;Наутро Валера вскочил как полоумный, не выключив телевизора, и бросился на работу, потому что знал, что, если он еще и на работу будет опаздывать, его точно отправят принудительно лечиться на Балтийский завод. [Митьки. Папуас из Гондураса (1987)];3
попугай;человек: оценка;заладить;действие, поведение;звук: начало, речь;заладить как попугай;;;[antiliberast, nick] Но до тех пор, размещать свои объявления на таких досках все равно незаконно, что бы ты ни говорил, и как бы ты ни изворачивался. Заладил как попугай. Может, у тебя какая-то уникальная доска, иди прогуляйся по другим подъездам, поищи такие же надписи, как у тебя, может найдешь еще. [коллективный. Антиселигер (2011)];6
попугай;животные: птицы;твердить;действие;звук, речь;твердить как попугай;;;? В ней никто ничего не понимает. Твердят как попугаи: болезнь века. Лекарственные препараты, бытовая химия, то да се. [И. Грекова. Перелом (1987)];4
поросёнок;животные: звери;визжать;действие;звук;визжать как поросёнок;;полозья;А Семёнов из машины визжал как поросёнок. [Андрей Геласимов. Нежный возраст (2001)];6
порох;артефакты;вспыхнуть;событие;природное явление, свет: начало;вспыхнуть как порох;;;? Полноте, не клянитесь, я ведь знаю, вы способны вспыхнуть как порох. [Ф. М. Достоевский. Белые ночи (1848)];3
потерянный;физические свойства/состояния;ходить;действие;движение: ненаправленное;ходить как потерянный;;;Весь день гардемарины ходили как потерянные, слухи и сплетни увяли,;6
пробка;артефакты;вылететь;действие;движение: направленное;вылететь как пробка;;;Доцент МГУ после этого вылетел как пробка. [Андрей Геласимов. Год обмана (2003)];31
проклятый;человек;работать;деятельность;актуальное/потенциальное занятие;работать как проклятый;;;Тесть работал как проклятый, зарабатывая деньги, чтоб рассчитаться с долгами. [Андрей Житков. Кафедра (2000)];26
пророк;человек;говорить;действие;речь;говорить как пророк;;;Очевидцы свидетельствуют, что он говорил как пророк. [С. Г. Бочаров. Из истории понимания Пушкина (1998)];7
птица;животные: птицы;биться;действие;актуальное/потенциальное занятие;биться как птица;;сердце;Выбрали мы денек, когда Иван-то Семеныч совсем трезвый был, приоделся я, помолился богу и пошел в палатку, а сердце так и бьется, как птица. [Д. Н. Мамин-Сибиряк. Золотая ночь (1884)];13
птица;животные: птицы;жить;деятельность;актуальное/потенциальное занятие;жить свободно как птица;1;;Хочу, говорит, свободно жить, как птицаи всякая тварь Божия”. [Герман Садулаев. Бич Божий (2010) // «Знамя», 2008];3
птица;животные: птицы;летать;занятие, действие;движение: ненаправленное;летать как птица;;;Раньше пух был в цене, платки. Девчата мои вяжут как огнючки. Ныне ? хоть даром отдавай. [Борис Екимов. Пиночет (1999)];13
птица;животные: птицы;лететь;занятие, действие;движение: направленное;лететь как птица;;стрела;Стрела летит, как птица, Повсюду лязг и стон… [Александр Городницкий. «И жить еще надежде» (2001)] ;3
птица;животные: птицы;полететь;действие;движение: начало;полететь как птица;;;Сначала полетел как птица, или даже как облако, полетел и вдруг ? шлепнулся. [Валентин Постников. Приключения Вахмурки и Мухмурки (1997)];26
пузырь;артефакты;лопнуть;событие;изменение состояния/признака: мгновенное событие, прекращение существования;лопнуть как мыльный пузырь;1;абстракции;"? Впрочем, в случае кризиса могут лопнуть, как и наши"". [Алексей Крашаков. Иностранцы «съедают» наши банки? (2003) // «Аргументы и факты», 2003.01.29]";34
пьяный;физические свойства/состояния;ходить;действие;движение: ненаправленное;ходить как пьяный;;;? Помнишь, мы с тобой в том году белены объелись, ходили как пьяные… [Светлана Василенко. Дурочка (1998)];11
пьяный;физические свойства/состояния;шататься;занятие;движение: ненаправленное;шататься как пьяный;;;Шатаясь как пьяные, мы помогали им таскать искалеченные трупы лилипутов к реке. [Юрий Буйда. Город палачей // «Знамя», 2003];31
раб;человек;служить;деятельность;актуальное/потенциальное занятие;служить как раб;;;Пусть один из них служит другому, как господину, но пусть никто из них не служит как раб. [Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)];10
рак;животные;краснеть;процесс;физиология, эмоции: проявление;краснеть как рак;;;Что краснеешь как рак, а еще труп? [Юрий Мамлеев. Конец света/Крутые встречи (1975-1999)] ;52
рак;животные;покраснеть;событие;физиология, эмоции: проявление;покраснеть как рак;;;"[Денисевич] мой покраснел как рак и, запутываясь в словах, отвечал: ""Я не затем звал вас к себе… я хотел вам сказать, что молодому человеку, как вы, нехорошо кричать в театре, мешать своим соседям слушать пиесу, что это неприлично… [И. И. Лажечников. Знакомство мое с Пушкиным (1856)]";2
рак;животные;раскраснеться;событие;физиология;раскраснеться как рак;;;В сенях уже кипит самовар, который, раскрасневшись, как рак, раздувает Митька форейтор, на дворе сыро и туманно, как будто пар подымается от пахучего навоза, солнышко весёлым, ярким светом освещает восточную часть неба и соломенные крыши просторных навесов, окружающих двор, глянцевитые от росы, покрывающей их. [Л. Н. Толстой. Отрочество (1854)];10
ребенок;человек: маленький возраст;заплакать;действие;звук: начало, эмоции: проявление;заплакать как ребенок;;;Я к нему ? запищал, заплакал, как ребенок. [И. П. Максимов. Пир во время чумы (Из фронтового дневника) // «Бельские Просторы», 2010];33
ребенок;человек: маленький возраст;зарыдать;действие;звук: начало, эмоции: проявление;зарыдать как ребёнок;;;Вдали вилась пыль ? Азамат скакал на лихом Карагёзе, на бегу Казбич выхватил из чехла ружьё и выстрелил, с минуту он остался неподвижен, пока не убедился, что дал промах, потом завизжал, ударил ружьё о камень, разбил его вдребезги, повалился на землю и зарыдал, как ребёнок… [М. Ю. Лермонтов. Герой нашего времени (1839-1841)];4
ребенок;человек: маленький возраст;обрадоваться;событие;эмоции;обрадоваться как ребенок;;;Король обрадовался, как ребёнок, при виде своей благодетельницы. [Л. А. Чарская. Король с раскрашенной картинки (1912)];30
ребенок;человек: маленький возраст;плакать;действие;эмоции: проявление, звук;плакать как ребёнок;;;Обычно он плакал как ребёнок, чтобы видели, и сочувствовали, и утешали. [Токарева Виктория. Своя правда // «Новый Мир», 2002];26
ребенок;человек: маленький возраст;радоваться;состояние;эмоции;радоваться как ребенок;;;А когда мы приносили ей в гостинец яблоки, она радоваласькак ребенок. [Р. Б. Ахмедов. Промельки (2011) // «Бельские Просторы», ];8
ребенок;человек: маленький возраст;рыдать;действие;эмоции: проявление, звук;рыдать как ребёнок;;;" Её повели. Я рыдал, как ребёнок. Вы знаете предание о Сороке-воровке"", действительность не так слабонервна, как драматические писатели, она идёт до конца: Анету казнили. [А. И. Герцен. Сорока-воровка (1846)]";77
резаный;физические свойства/состояния;орать;действие;звук, эмоции: проявление, речь;орать как резаный;;;Ровно ножом полоснуло. Ору как резаная. Соседка через площадку и то услыхала, неотложку вызвала. [И. Грекова. Перелом (1987)];67
резина;материалы и вещества;растягиваться;воздействие;изменение состояния/признака: процесс;растягиваться как резина;;;Намокшая одежда выскальзывала из рук, растягивалась, как резина,коробилась, как жесть, и нож был туп, не резал нитку. [Юрий Коваль. Гроза над картофельным полем (1974)];36
резина;материалы и вещества;тянуться;свойство;изменение состояния/признака: процесс;тянуться как резина;;творог, горизонталь, слова;Прогреть 3-4 минуты, пока молоко не загустеет и творог не будет тянуться как резина. [Рецепты национальных кухонь: Эстония (2000-2005)];29
роза;природа: растения;цвести;свойство, состояние;природное явление;цвести как роза;;;? Симочка! ? закричал Скворцов. ? Здравствуйте, деточка, вы цветёте, как роза, рад вас видеть! [И. Грекова. На испытаниях (1967)];4
рука;части тела;снять;действие;воздействие;снять как рукой;2;всегда безличное;После двойного эспрессо появившуюся было сонливость сняло как рукой, и уже не казалось так холодно. [Сергей Штерн. Ниже уровня моря // «Звезда», 2003];3
рыба;животные: рыбы;биться;действие;актуальное/потенциальное занятие;биться как рыба об лед;1;;Дворянская служба была службой военной: офицеры бились, как рыба об лед, стараясь получить отпуск и провести в имении хотя бы полгода.;5
рыба;животные: рыбы;молчать;действие, состояние;звук, речь;молчать как рыба;;;Репетитор Саша тоже молчал как рыба? у него вообще такой характер. [Вера Белоусова. Второй выстрел (2000)];13
рыба;животные: рыбы;плавать;способность;движение: ненаправленное;плавать как рыба;;;С тех пор мной овладело неукротимое желание плавать как рыба в воде. [В. Кузьменко. Первая охота (юмористический рассказ) // «Спортсмен-подводник», 1965];77
рыба;животные: рыбы;разевать;действие;эмоции: проявление;разевать рот как рыба;;;Он таращил глаза и разевал рот, как рыба.;47
свеча;артефакты;гореть;проявление;природное явление, свет;гореть как свеча;;;Изредка, правда, передували сквознячки, но они и папиросной бумажки со стола не сдули. Зажжённая спичка спокойно горела, как свеча. Хозяин прибежал за мной, когда «Мираж» уже обогнул веху. [Б. С. Житков. «Мираж» (1935)];32
свеча;артефакты;таять;процесс, свойство;изменение состояния/признака: процесс, прекращение существования, природное явление;таять как свеча;;;И все видят ? о каком университете может идти речь, когда человек тает как свеча: не ест, не пьёт, не выходит из комнаты, никого не желает видеть, не читает, ничем не занимается, сидит целыми днями в своей комнате и вдобавок ко всему курит папиросу за папиросой?! [Анатолий Рыбаков. Тяжелый песок (1975-1977)];3
свинья;животные: звери;визжать;действие;звук;визжать как свинья;;;Всё время визжал, как подрезанная свинья, точнее, кабан. [Токарева Виктория. Своя правда // «Новый Мир», 2002] ;20
свинья;животные: звери;завизжать;действие;звук: начало;завизжать как свинья;;;Максим тогда завизжал, как свинья, которую режут: «Я тебе пойду! [Эдуард Володарский. Дневник самоубийцы (1997)];15
свинья;животные: звери;нажраться;действие;актуальное/потенциальное занятие: результат;нажраться как свинья;;;«Я нажралсякак свинья… ? Пумба, ты и есть свинья. [коллективный. Обсуждение мультипликационного фильма «Король Лев» (2011)];8
свинья;животные: звери;напиться;действие;актуальное/потенциальное занятие: результат;напиться как свинья;;;? Напился, как свинья, вот и не помнишь ничего! [Ярослав Кудлак. Симбиоз // «Наука и жизнь», 2009];18
святыня;артефакты;храниться;;обладание;храниться как святыня;;письмо, домик, знамя;Его письмо у меня хранится как святыня. [П.П. Вяземский. Письма и записки Оммер де Гелль (1845)];6
сельдь;животные: рыбы;набиться;действие;изменение состояния/признака: достижение результата;набиться как сельди в бочку;1;;Вот набились, как сельдив бочку, в задние ряды приятели по Академии. [Борис Евсеев. Евстигней // «Октябрь», 2010];5
сердце;части тела;пульсировть;свойство;физиология;пульсировть как сердце;;;Волны мягко раздавались под напором парохода, где рылся, пульсируя, как сердцеработающего человека, невидимый винт. [Н. С. Гумилев. Африканский дневник (1913)];3
скала;природа: объекты;стоять;положение в пространстве;позиция;стоять как скала;;;Он понял, что может стоять, как скала, и его не сдвинут. [Юрий Трифонов. Обмен (1969)];17
смерть;абстрактные имена;побелеть;событие;эмоции: проявление;побелеть как смерть;;;Теперь он стоял спиной к докторше, бледный, с остекленевшими глазами, и, когда ему сделали укол, он внезапно побелел как смерть, хотя, казалось, дальше бледнеть некуда. [Фазиль Искандер. Тринадцатый подвиг Геракла (1966)];2
смерть;абстрактные имена;побледнеть;событие;физиология, эмоции: проявление;побледнеть как смерть;;;Он насупился еще больше и вдруг побледнел как смерть.;34
снег;природа: явления;нагрянуть;событие, действие;движение;нагрянуть как снег на голову;1;;По их словам, не бывало ещё на свете такого мастера своего дела: «Вязанки хворосту не даст утащить, в какую бы ни было пору, хоть в самую полночь, нагрянет, как снег на голову, и ты не думай сопротивляться, ? силен, дескать, и ловок как бес… [И. С. Тургенев. Бирюк (1848)];6
снег;природа: явления;свалиться;событие;движение: падение;свалиться как снег на голову;1;;Её бывший муж, только что овдовевший, свалился как снег на голову, и придётся с ним повозиться, потому что в таком состоянии она не может его оставить одного… [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000];22
сновидение;абстрактные имена;исчезнуть;событие;прекращение существования;исчезнуть как сновидение;;величие;Вы исчезли, ? исчезли, как сновидение, как исчезает теперь последний луч сего светила, ? времена, когда я была девицею, жила в доме родительском, не знав никаких горестей, когда дни мои посвящались наукам, некоторые часы ? невинным удовольствиям. [Неизвестный. Истинное приключение благородной россиянки (1803)];3
собака;животные: звери;выть;действие;звук;выть как собака;;;На полочке стоят все серии на ДВД, кроме «ХХ век начинается», которую давно пора купить, однажды кто-то из нас вдруг чувствует, что какую-то серию давно не пересматривали, и либо прямо говорит другому давай сегодня посмотрим, либо начинает напевать: «Па-ра-па-пам, па-ра-па-пам, па-ра-па-па-ра-ра-ра-ра-па-пам», ? или выть, как собакаБаскервилей. [Наталья Самутина, Борис Степанов. А вас, Штирлиц, я снова попрошу остаться… К проблеме современной рецепции советского кино // «Неприкосновенный запас», 2009];8
собака;животные: звери;кусаться;поведение;актуальное/потенциальное занятие;кусаться как собака;;;"Разве на рынке, по бешеным ценам. Цены кусались, как собаки. Всё это называлось звучным словом ""разруха"". [И. Грекова. Фазан (1984)]";3
собака;животные: звери;лаять;действие;звук;лаять как собака;;животные, желудок;Квакша-кузнец из Аргентины кричит, словно молотком по медному подносу бьёт. Листовая лягушка из Южной Америки лает, как собака, а голос австралийской белой квакши звучит так, словно целая свора собак где-то далеко гонит добычу. [Лягушки // «Мурзилка», 1999];8
собака;животные: звери;подохнуть;событие;прекращение существования;подохнуть как собака;;;? нет денег – подохнешь, как собака, и никакие врачи тебя слушать не станут… на мой взгляд, ВОЗМОЖНО, что у этой женщины не было либо денег, либо знакомых врачей, и она решила обратиться за помощью в интернет… [коллективный. Хватит губить детей! (2011)];2
собака;животные: звери;устать;событие;изменение состояния/признака: начало нового состояния/признака, физиология;устать как собака;;;И они падали один за другим, и обозначали всё уменьшающиеся границы тела, и лупили, как молнии, в уже обугленное, но ещё содрогающееся дерево тела… [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000];45
солнце;природа: объекты;сиять;проявление;свет;сиять как солнце;;;Солнце играло на небе, и золотые кудри молодого короля сияли, как солнце. [Л. А. Чарская. Дуль-Дуль, король без сердца (1912)];22
соловей;животные: птицы;заливаться;действие;звук;заливаться как соловей;;;нотку одну лишь нащупает верную? и заливается как соловей. Руки мои на коленях покоятся, [Сати Спивакова. Не всё (2002)];3
соловей;животные: птицы;петь;действие;звук, речь;петь как соловей;;;» ? мелькнуло у него в голове, но вслух он этого не произнес, потому что Димка пел как соловей, и Тетерин не решился прервать эту песню. [Андрей Геласимов. Дом на Озерной (2009)];12
сорняки;природа: растения;расти;процесс;изменение состояния/признака: процесс, природное явление;расти как сорняки;;растение;Прародителями томата считаются мелкие вишневидные «дикари», которые и сейчас в странах Латинской Америки растут как сорняки на заброшенных землях и по обочинам дорог. [Мария Ушакова. «Вишенки» в саду и на балконе // «Наука и жизнь», 2009];2
сорока;животные: птицы;заладить;действие, поведение;звук: начало, речь;заладить как сорока;;;? Да что это ты, хозяин, больно развоевался? ? сказал мой новый знакомый недовольно. ? Заладил как сорока: война, война, война… Без тебя это каждый день слышим и читаем. [Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)];2
спичка;артефакты;вспыхивать;событие;природное явление, свет: начало;вспыхивать как спичка;;;Вот так, бывало, редко улыбался, но улыбнётся ? и радость вспыхнет, как спичкав темноте. [Фазиль Искандер. Лошадь дяди Кязыма (1966)];3
спичка;артефакты;вспыхнуть;событие;природное явление, свет: начало;вспыхнуть как спичка;;;Хотя, впрочем, дом у нас каменный и вряд ли он может вспыхнуть, как спичка. [М. М. Зощенко. Перед восходом солнца (1943)];7
статуя;сооружения;стоять;положение в пространстве;позиция;стоять как статуя;;животное;"А в ""Комсомольце"" гурт навовсе поморозили. Стояли как статуи. Поезжай погляди. [Борис Екимов. Пиночет (1999)]";17
стена;сооружения;стоять;положение в пространстве;позиция;стоять как стена;;;Он только стоял, как стена, с очками в руках, терпя оскорбления. [Людмила Петрушевская. Маленькая волшебница // «Октябрь», 1996];15
столб;сооружения;стоять;положение в пространстве;позиция;стоять как столб;;;Он стоял за воротцами база, всё видел и всё слышал. ? Стоит как столб! ? возмутилась жена. ? Молчит! [Борис Екимов. Пиночет (1999)];34
стрела;артефакты;лететь;занятие, действие;движение: направленное;лететь как стрела;;;Вор так и сделал. Ак-Бозат полетела, как стрела. Скоро пропала совсем из виду. [Д. Н. Мамин-Сибиряк. Ак-Бозат (1895)];16
струна;артефакты;натягиваться;свойство;изменение состояния/признака: процесс;натягиваться как струна;;тело, взгляд, воздух, концы веревок;Совсем неожиданно для себя он подался вперёд и поцеловал девчушку ? во влажный висок её, потом ниже, где-то за ухом, потом ещё ниже, стал целовать плечо её, осторожно, еле касаясь, и с каждым касанием его губ девушка вздрагивала, выпрямлялась и натягивалась, как струна, дрожа и вибрируя, тянулась на цыпочках ввысь… [Анатолий Азольский. Лопушок // «Новый Мир», 1998];8
студень;артефакты;трястись;состояние;физиология;трястись как студень;;;Торфяная туча навалилась на болота пухлым ржаным животом. Она ревела и тряслась, как студень. От ударов грома осыпалась голубика. [Юрий Коваль. У Кривой сосны (1979)];7
сумасшедший;ментальные свойства человека: отсутствие ума, человек: оценка;бежать;действие;движение: направленное;бежать как сумасшедший;;;Люди бежали, как сумасшедшие, налетали друг на друга, спотыкались, падали, вскакивали и снова бежали наперегонки. [Вальтер Запашный. Риск. Борьба. Любовь (1998-2004)];7
сумасшедший;ментальные свойства человека: отсутствие ума, человек: оценка;захохотать;действие;звук: начало, эмоции: проявление;захохотать как сумасшедший;;;Глаза их встретились, они захохотали как сумасшедшие: боже ж ты мой, как все просто в этом мире, вот тебе и звероподобные сержанты на проходной, какая, к черту, тайна,когда вся Москва знает, где кого натаскивают! [Анатолий Азольский. Глаша // «Новый Мир», 2003];7
сумасшедший;ментальные свойства человека: отсутствие ума, человек: оценка;нестись;действие;движение: направленное;нестись как сумасшедший;;;А вагон мотает, трясет, поезд несется, как сумасшедший, ночь черная, паровоз вдруг как закричит нечеловеческим голосом, несемся неизвестно куда. [Светлана Василенко. Ген смерти (1997-2000)];6
сумасшедший;ментальные свойства человека: отсутствие ума, человек: оценка;работать;деятельность;актуальное/потенциальное занятие;работать как сумасшедший;;;А там они все работают, как сумасшедшие. [Владимир Голяховский. Русский доктор в Америке (1984-2001)];10
сумасшедший;ментальные свойства человека: отсутствие ума, человек: оценка;смеяться;действие;эмоции: проявление, звук;смеяться как сумасшедший;;;Прижавшись к стене, она смеялась, смеялась, смеялась, как сумасшедшая, как… как Пумперпикель. [А. Хованская. Авантюристка (1928)];45
сумасшедший;ментальные свойства человека: отсутствие ума, человек: оценка;хохотать;действие;эмоции: проявление, звук;хохотать как сумасшедший;;;Я поместился в некотором расстоянии на другой лавке, остановил двух знакомых Д… офицеров и начал им что-то рассказывать, видно, было смешно, потому что они началихохотать как сумасшедшие. [М. Ю. Лермонтов. Герой нашего времени (1839-1841)];16
сурок;животные: звери;спать;состояние;физиология;спать как сурок;;;Смотри, утро уже, а я же сплю как сурок ? не проснусь вовремя. [Анна Берсенева. Полет над разлукой (2003-2005)];26
сыр;артефакты;жить;деятельность;актуальное/потенциальное занятие;жить как сыр в масле;1;;? Там теперь, в «Рухе», многие: и Санька Хлебников, и Жданов, и Лютый, и Михайличенко. Живут как сырв масле. Специальный спортивный паек, вареники с вишней в столовой, свиные эскалопы. [Сергей Самсонов. Одиннадцать (2010)];2
сыр;артефакты;кататься;действие;движение: ненаправленное;кататься как сыр в масле;1;;И так велика их ненависть к победителям, настолько неодолимо желание вернуться к старым временам, когда они катались как сыр в масле, что они, опьяненные своейподлостью, начинают действовать уже почти неприкрыто. [Бахыт Кенжеев. Из Книги счастья (2007) // «Новый Мир», 2008];39
сыч;животные: птицы;сидеть;положение в пространстве;позиция;сидеть как сыч;;;"Но приходилось сидеть ""как сыч"", в своём олеандровом Йере. [Вадим Крейд. Георгий Иванов в Йере // «Звезда», 2003]";19
танк;артефакты;переть;действие;движение: направленное;переть как танк;;;Она четко знает свою цель и прет как танк. [коллективный. Москва слезам не верит (2011)];12
тень;природа: явления;бродить;действие;движение: ненаправленное;бродить как тени;;;Люди бродят как тени, садятся на яркие пластиковые кресла Иошиоки и Старка, молча следят за картинами, проецирующимися на белое полотно снега, молча сжимают снег в горсти. [Юлия Пешкова. Ярмарка тщеславия (2002) // «Домовой», 2002.06.04];23
тень;природа: явления;исчезать;процесс;прекращение существования;исчезать как тень;;;И сказав это, исчезла, как тень, растаяв в воздухе, Мааб. [Л. А. Чарская. Живая перчатка (1912)];6
трава;природа: растения;расти;процесс;изменение состояния/признака: процесс, природное явление;расти как трава;;;Другое дело? Валюн. Этот не рос как трава. Не хватало ему настоящей, твёрдой руки. [И. Грекова. Перелом (1987)];11
труп;физические свойства/состояния: мертвый;лежать;положение в пространстве;позиция;лежать как труп;;;Она лежалакактруп, но она не умерла. [М. А. Булгаков. Полотенце с петухом (1926)];12
Тузик;животные: звери;порвать;воздействие;воздействие;порвать как Тузик грелку;1;;Ах, сюси-пуси, порву, как Тузик грелку, ваши тапки, раз вы так со мной! [Татьяна Соломатина. Большая собака, или «Эклектичная живописная вавилонская повесть о зарытом» (2009)];2
туча;природа: явления;надвигаться;процесс;движение: направленное;надвигаться как туча;;;А главное ? их оставалось мало, шесть рублей. Мысль о водке надвигалась как туча… Идти через турбазу я не хотел. [Сергей Довлатов. Заповедник (1983)];2
убитый;физические свойства/состояния: мертвый;заснуть;событие;изменение состояния/признака: начало нового состояния/признака, физиология;заснуть как убитый;;;Зато под утро я заснул как убитый и пробудился в половине двенадцатого. [Вера Белоусова. Второй выстрел (2000)];68
убитый;физические свойства/состояния: мертвый;молчать;действие, состояние;звук, речь;молчать как убитый;;;? Знамя-то знаменем, а когда ваши друзья американцы вздергивают негров на сук без всякого суда и следствия, вы молчите как убитые. [Ю. О. Домбровский. Обезьяна приходит за своим черепом, часть 1 (1943-1958)];27
убитый;физические свойства/состояния: мертвый;спать;состояние;физиология;спать как убитый;;;Не мудрено, что, являясь домой, я валилась спать как убитая. [Дина Рубина. На солнечной стороне улицы (1980-2006)];111
убитый;физические свойства/состояния: мертвый;уснуть;событие;изменение состояния/признака: начало нового состояния/признака, физиология;уснуть как убитый;;;Дашка устроила ему полог от комаров, и он уснул как убитый.;20
